transaction_id,date,merchant_raw,description,amount,transaction_type,payment_method,category,subcategory,merchant_clean,description_clean,text_features,log_amount,full_target
TXN_C_005158,2025-02-09 04:07:00,CRY CHILD RIGHTS CHARITY,Monthly child welfare education donation ref:98704,1410.58,debit,UPI,EXPENSE,Gifts & Donations,CRY CHILD RIGHTS CHARITY,monthly child welfare education donation,CRY CHILD RIGHTS CHARITY monthly child welfare education donation,7.2524649233811065,EXPENSE::Gifts & Donations
TXN_C_005457,2025-10-07 14:56:00,BHARATPE-OLA CABS TRIP #94812 NOIDA,City taxi rideshare transport ref:19608,205.05,debit,Ola Money,EXPENSE,Transport,BHARATPE OLA CABS TRIP NOIDA,city taxi rideshare transport,BHARATPE OLA CABS TRIP NOIDA city taxi rideshare transport,5.328118857784826,EXPENSE::Transport
TXN_C_003633,2025-04-24 01:27:00,HPCL PETROL OUTLET PUNE,Diesel fuel refill for SUV,3648.26,debit,Credit Card,EXPENSE,Fuel,HPCL PETROL OUTLET PUNE,diesel fuel refill for suv,HPCL PETROL OUTLET PUNE diesel fuel refill for suv,8.202279686296034,EXPENSE::Fuel
TXN_C_005618,2025-07-05 09:54:00,SWIGGY INSTAMART GROCERY HYD,Pantry staples oil wheat dal spices,2552.58,debit,Credit Card,EXPENSE,Groceries,SWIGGY INSTAMART GROCERY HYD,pantry staples oil wheat dal spices,SWIGGY INSTAMART GROCERY HYD pantry staples oil wheat dal spices,7.845251575144618,EXPENSE::Groceries
TXN_C_002706,2025-04-19 13:54:00,RAZORPAY*URBAN COMPANY PLUMBER CARPENTER,Home tap repair carpentry maintenance,604.51,debit,Cash,EXPENSE,Other Expense,RAZORPAY COMPANY PLUMBER CARPENTER,home tap repair carpentry maintenance,RAZORPAY COMPANY PLUMBER CARPENTER home tap repair carpentry maintenance,6.406071078133402,EXPENSE::Other Expense
TXN_C_002079,2025-01-06 01:19:00,BILLDESK-PAYTM WALLET TOPUP LOAD,Money transfer from bank account to wallet ref:26470,667.82,transfer,Debit Card,TRANSFER,Other Transfer,BILLDESK PAYTM WALLET TOPUP LOAD,money transfer from bank account to wallet,BILLDESK PAYTM WALLET TOPUP LOAD money transfer from bank account to wallet,6.505514965629587,TRANSFER::Other Transfer
TXN_C_002939,2025-09-20 20:01:00,POS SBI ATM CASH WITHDRAWAL,ATM machine currency cash withdrawal,3646.24,transfer,Debit Card,TRANSFER,Cash Withdrawal,SBI ATM CASH WITHDRAWAL,atm machine currency cash withdrawal,SBI ATM CASH WITHDRAWAL atm machine currency cash withdrawal,8.201725996156485,TRANSFER::Cash Withdrawal
TXN_C_004757,2025-04-28 23:22:00,POS ACCENTURE INDIA PAYROLL DIRECT DELHI,Monthly net salary credit ref:80605,143702.56,credit,Direct Deposit,INCOME,Salary,ACCENTURE INDIA PAYROLL DIRECT DELHI,monthly net salary credit,ACCENTURE INDIA PAYROLL DIRECT DELHI monthly net salary credit,11.875507845594628,INCOME::Salary
TXN_C_004221,2025-02-11 13:45:00,POS CROMA ELECTRONICS STORE,Home appliance laptop monitor accessories ref:51580,14799.31,debit,UPI,EXPENSE,Shopping,CROMA ELECTRONICS STORE,home appliance laptop monitor accessories,CROMA ELECTRONICS STORE home appliance laptop monitor accessories,9.602403405478789,EXPENSE::Shopping
TXN_C_005878,2025-10-24 03:33:00,HOTSTAR DISNEY PLUS ANNUAL,Cricket IPL and movie streaming sub ref:92506,1009.09,debit,Credit Card,EXPENSE,Subscriptions,HOTSTAR DISNEY PLUS ANNUAL,cricket ipl and movie streaming sub,HOTSTAR DISNEY PLUS ANNUAL cricket ipl and movie streaming sub,6.9177947147762335,EXPENSE::Subscriptions
TXN_C_000123,2025-07-05 16:37:00,CRED-AMAZON SELLER SERVICES IN,Online electronics apparel kitchenware,12167.5,debit,Credit Card,EXPENSE,Shopping,CRED AMAZON SELLER SERVICES IN,online electronics apparel kitchenware,CRED AMAZON SELLER SERVICES IN online electronics apparel kitchenware,9.406605924482147,EXPENSE::Shopping
TXN_C_003027,2025-03-04 00:56:00,RAZORPAY*HDFC BANK ATM WITHDRAWAL DELHI,Self cash withdrawal from ATM outlet,14414.35,transfer,Debit Card,TRANSFER,Cash Withdrawal,RAZORPAY BANK ATM WITHDRAWAL DELHI,self cash withdrawal from atm outlet,RAZORPAY BANK ATM WITHDRAWAL DELHI self cash withdrawal from atm outlet,9.576048890041356,TRANSFER::Cash Withdrawal
TXN_C_005489,2025-02-01 14:47:00,BOOKMYSHOW PVR INOX MOVIES PUNE,Weekend cinema IMAX movie tickets snacks,758.69,debit,UPI,EXPENSE,Entertainment,BOOKMYSHOW PVR INOX MOVIES PUNE,weekend cinema imax movie tickets snacks,BOOKMYSHOW PVR INOX MOVIES PUNE weekend cinema imax movie tickets snacks,6.632910455331848,EXPENSE::Entertainment
TXN_C_005128,2025-05-15 06:41:00,POS SWIGGY INSTAMART GROCERY,Pantry staples oil wheat dal spices ref:32927,1418.7,debit,Credit Card,EXPENSE,Groceries,SWIGGY INSTAMART GROCERY,pantry staples oil wheat dal spices,SWIGGY INSTAMART GROCERY pantry staples oil wheat dal spices,7.258200860669528,EXPENSE::Groceries
TXN_C_002504,2025-11-03 02:16:00,HDFC BANK ATM WITHDRAWAL,Self cash withdrawal from ATM outlet,17000.16,transfer,Debit Card,TRANSFER,Cash Withdrawal,HDFC BANK ATM WITHDRAWAL,self cash withdrawal from atm outlet,HDFC BANK ATM WITHDRAWAL self cash withdrawal from atm outlet,9.741036856004548,TRANSFER::Cash Withdrawal
TXN_C_002980,2025-03-14 23:00:00,PAYTM WALLET TOPUP LOAD HYD,Money transfer from bank account to wallet,1286.25,transfer,Debit Card,TRANSFER,Other Transfer,PAYTM WALLET TOPUP LOAD HYD,money transfer from bank account to wallet,PAYTM WALLET TOPUP LOAD HYD money transfer from bank account to wallet,7.1602634389262505,TRANSFER::Other Transfer
TXN_C_001704,2025-10-16 03:15:00,BHARATPE-TATA POWER DDL BILL PAY NOIDA,Monthly residential power consumption,3347.47,debit,Net Banking,EXPENSE,Bills & Utilities,BHARATPE TATA POWER DDL BILL PAY NOIDA,monthly residential power consumption,BHARATPE TATA POWER DDL BILL PAY NOIDA monthly residential power consumption,8.116258804074493,EXPENSE::Bills & Utilities
TXN_C_002790,2025-08-24 08:09:00,PAYTM WALLET TOPUP LOAD MUMBAI,Money transfer from bank account to wallet,1330.93,transfer,Debit Card,TRANSFER,Other Transfer,PAYTM WALLET TOPUP LOAD MUMBAI,money transfer from bank account to wallet,PAYTM WALLET TOPUP LOAD MUMBAI money transfer from bank account to wallet,7.194384297166848,TRANSFER::Other Transfer
TXN_C_003141,2025-07-13 21:43:00,UBER INDIA RIDES BANGALORE,Cab ride home from office commute,904.34,debit,Paytm,EXPENSE,Transport,UBER INDIA RIDES BANGALORE,cab ride home from office commute,UBER INDIA RIDES BANGALORE cab ride home from office commute,6.808310563753615,EXPENSE::Transport
TXN_C_004325,2025-08-12 08:54:00,URBAN COMPANY PLUMBER CARPENTER STORE,Home tap repair carpentry maintenance ref:98588,480.72,debit,Cash,EXPENSE,Other Expense,URBAN COMPANY PLUMBER CARPENTER STORE,home tap repair carpentry maintenance,URBAN COMPANY PLUMBER CARPENTER STORE home tap repair carpentry maintenance,6.177363032392279,EXPENSE::Other Expense
TXN_C_002743,2025-03-14 09:25:00,ZOMATO FOOD ORDER #49102,Weekend lunch food delivery burger pizza,1450.31,debit,Paytm Wallet,EXPENSE,Food,ZOMATO FOOD ORDER,weekend lunch food delivery burger pizza,ZOMATO FOOD ORDER weekend lunch food delivery burger pizza,7.280221875826726,EXPENSE::Food
TXN_C_002041,2025-08-15 07:44:00,CRED HDFC CARD BILL PAY MUMBAI,Monthly credit card outstanding bill payment,35490.6,transfer,UPI,TRANSFER,Credit Card Payment,CRED HDFC CARD BILL PAY MUMBAI,monthly credit card outstanding bill payment,CRED HDFC CARD BILL PAY MUMBAI monthly credit card outstanding bill payment,10.477051327746334,TRANSFER::Credit Card Payment
TXN_C_005631,2025-05-09 00:04:00,CRY CHILD RIGHTS CHARITY,Monthly child welfare education donation,1140.45,debit,UPI,EXPENSE,Gifts & Donations,CRY CHILD RIGHTS CHARITY,monthly child welfare education donation,CRY CHILD RIGHTS CHARITY monthly child welfare education donation,7.0400546629956215,EXPENSE::Gifts & Donations
TXN_C_000364,2025-01-07 22:39:00,CRED RENTPAY DIRECT WIRE,Monthly apartment lease payment to owner,60858.1,debit,UPI,EXPENSE,Rent & Housing,CRED RENTPAY DIRECT WIRE,monthly apartment lease payment to owner,CRED RENTPAY DIRECT WIRE monthly apartment lease payment to owner,11.016316635303498,EXPENSE::Rent & Housing
TXN_C_003290,2025-01-18 16:03:00,DMART AVENUE SUPERMARTS,In-store discounted FMCG household groceries ref:45765,5494.08,debit,Debit Card,EXPENSE,Groceries,DMART AVENUE SUPERMARTS,in store discounted fmcg household groceries,DMART AVENUE SUPERMARTS in store discounted fmcg household groceries,8.611608425421464,EXPENSE::Groceries
TXN_C_003958,2025-07-13 07:32:00,OLA CABS TRIP #94812 NOIDA,City taxi rideshare transport ref:91980,755.35,debit,UPI,EXPENSE,Transport,OLA CABS TRIP NOIDA,city taxi rideshare transport,OLA CABS TRIP NOIDA city taxi rideshare transport,6.628504232008209,EXPENSE::Transport
TXN_C_002648,2025-06-10 06:20:00,PAYTM*INDRAPRASTHA GAS IGL BILL,Piped cooking natural gas monthly bill,1723.97,debit,Net Banking,EXPENSE,Bills & Utilities,PAYTM GAS IGL BILL,piped cooking natural gas monthly bill,PAYTM GAS IGL BILL piped cooking natural gas monthly bill,7.452964938009882,EXPENSE::Bills & Utilities
TXN_C_002259,2025-11-20 10:22:00,AMAZON SELLER SERVICES IN,Online electronics apparel kitchenware,15894.0,debit,Credit Card,EXPENSE,Shopping,AMAZON SELLER SERVICES IN,online electronics apparel kitchenware,AMAZON SELLER SERVICES IN online electronics apparel kitchenware,9.673759873344903,EXPENSE::Shopping
TXN_C_005274,2025-10-29 20:03:00,HDFC BANK ATM OUT OF NETWORK FEE,Non-home bank ATM transaction surcharge ref:67672,33.13,debit,Bank Debit,EXPENSE,Fees & Charges,HDFC BANK ATM OUT OF NETWORK FEE,non home bank atm transaction surcharge,HDFC BANK ATM OUT OF NETWORK FEE non home bank atm transaction surcharge,3.530176762918616,EXPENSE::Fees & Charges
TXN_C_001252,2025-09-25 10:33:00,TATA POWER DDL BILL PAY HYD,Monthly residential power consumption,3081.46,debit,UPI,EXPENSE,Bills & Utilities,TATA POWER DDL BILL PAY HYD,monthly residential power consumption,TATA POWER DDL BILL PAY HYD monthly residential power consumption,8.033483258474174,EXPENSE::Bills & Utilities
TXN_C_005034,2025-07-28 01:06:00,SMAASH ENTERTAINMENT BOWLING,Weekend arcade gaming and bowling ref:40177,2956.44,debit,UPI,EXPENSE,Entertainment,SMAASH ENTERTAINMENT BOWLING,weekend arcade gaming and bowling,SMAASH ENTERTAINMENT BOWLING weekend arcade gaming and bowling,7.992079308241847,EXPENSE::Entertainment
TXN_C_003521,2025-03-07 03:37:00,POS BLINKIT COMMERCE GURGAON MUMBAI,Weekly fresh fruits vegetables eggs,2152.81,debit,UPI,EXPENSE,Groceries,BLINKIT COMMERCE GURGAON MUMBAI,weekly fresh fruits vegetables eggs,BLINKIT COMMERCE GURGAON MUMBAI weekly fresh fruits vegetables eggs,7.674993645840637,EXPENSE::Groceries
TXN_C_004361,2025-08-11 05:11:00,BHARATPE QR SETTLEMENT,Retail store daily UPI merchant collection,15749.13,credit,Bank Transfer,INCOME,Business Income,BHARATPE QR SETTLEMENT,retail store daily upi merchant collection,BHARATPE QR SETTLEMENT retail store daily upi merchant collection,9.66460389818797,INCOME::Business Income
TXN_C_002344,2025-07-25 06:04:00,CROMA ELECTRONICS STORE,Home appliance laptop monitor accessories ref:41814,43553.76,debit,Debit Card,EXPENSE,Shopping,CROMA ELECTRONICS STORE,home appliance laptop monitor accessories,CROMA ELECTRONICS STORE home appliance laptop monitor accessories,10.681774275963445,EXPENSE::Shopping
TXN_C_001965,2025-08-08 14:12:00,MAX HEALTHCARE CLINIC DOCTOR,Outpatient specialist doctor consultation ref:81522,1483.76,debit,UPI,EXPENSE,Healthcare,MAX HEALTHCARE CLINIC DOCTOR,outpatient specialist doctor consultation,MAX HEALTHCARE CLINIC DOCTOR outpatient specialist doctor consultation,7.3030084220138844,EXPENSE::Healthcare
TXN_C_002712,2025-06-19 06:33:00,CRED-NOBROKER RENTPAY TO LANDLORD,Monthly 2BHK residential flat house rent,41545.45,debit,Bank Transfer,EXPENSE,Rent & Housing,CRED NOBROKER RENTPAY TO LANDLORD,monthly 2bhk residential flat house rent,CRED NOBROKER RENTPAY TO LANDLORD monthly 2bhk residential flat house rent,10.634567357403611,EXPENSE::Rent & Housing
TXN_C_004148,2025-12-22 05:35:00,DELHI METRO DMRC CARD RECHARGE MUMBAI,Subway smart card automated reload,847.37,debit,UPI,EXPENSE,Transport,DELHI METRO DMRC CARD RECHARGE MUMBAI,subway smart card automated reload,DELHI METRO DMRC CARD RECHARGE MUMBAI subway smart card automated reload,6.743316861386399,EXPENSE::Transport
TXN_C_000485,2025-02-17 12:43:00,UNACADEMY SUBSCRIPTION,UPSC / Tech live learning plus batch ref:44517,8830.57,debit,Net Banking,EXPENSE,Education,UNACADEMY SUBSCRIPTION,upsc tech live learning plus batch,UNACADEMY SUBSCRIPTION upsc tech live learning plus batch,9.086088080737444,EXPENSE::Education
TXN_C_003079,2025-10-01 20:01:00,ZOMATO FOOD ORDER #49102,Weekend lunch food delivery burger pizza,577.7,debit,Paytm Wallet,EXPENSE,Food,ZOMATO FOOD ORDER,weekend lunch food delivery burger pizza,ZOMATO FOOD ORDER weekend lunch food delivery burger pizza,6.360784208579793,EXPENSE::Food
TXN_C_000357,2025-11-25 17:24:00,CRED-UPWORK FOREX INWARD REMITTANCE,Freelance UI/UX design project fee,23105.25,credit,Wire Transfer,INCOME,Freelance,CRED UPWORK FOREX INWARD REMITTANCE,freelance ui ux design project fee,CRED UPWORK FOREX INWARD REMITTANCE freelance ui ux design project fee,10.047858422684943,INCOME::Freelance
TXN_C_000026,2025-09-07 04:12:00,HDFC BANK ATM OUT OF NETWORK FEE STORE,Non-home bank ATM transaction surcharge ref:82845,40.19,debit,Bank Debit,EXPENSE,Fees & Charges,HDFC BANK ATM OUT OF NETWORK FEE STORE,non home bank atm transaction surcharge,HDFC BANK ATM OUT OF NETWORK FEE STORE non home bank atm transaction surcharge,3.718195508447989,EXPENSE::Fees & Charges
TXN_C_003547,2025-08-15 08:55:00,BHARATPE-SBI TERM DEPOSIT INTEREST,Cumulative term deposit interest,6574.44,credit,Bank Credit,INCOME,Interest,BHARATPE SBI TERM DEPOSIT INTEREST,cumulative term deposit interest,BHARATPE SBI TERM DEPOSIT INTEREST cumulative term deposit interest,8.791096774959003,INCOME::Interest
TXN_C_004305,2025-12-02 11:02:00,GPAY UPI TO RAHUL SHARMA NOIDA,Instant peer to peer money transfer ref:46109,6718.67,transfer,UPI,TRANSFER,Bank Transfer,GPAY UPI TO RAHUL SHARMA NOIDA,instant peer to peer money transfer,GPAY UPI TO RAHUL SHARMA NOIDA instant peer to peer money transfer,8.812794325168543,TRANSFER::Bank Transfer
TXN_C_005008,2025-07-05 01:35:00,ICICI CREDIT CARD AUTO DEBIT,Monthly statement balance autopay deduction,25326.13,transfer,Net Banking,TRANSFER,Credit Card Payment,ICICI CREDIT CARD AUTO,monthly statement balance autopay deduction,ICICI CREDIT CARD AUTO monthly statement balance autopay deduction,10.13963143219414,TRANSFER::Credit Card Payment
TXN_C_001533,2025-11-17 04:38:00,LIC OF INDIA LIFE POLICY PREM,Quarterly life insurance policy premium ref:15604,6793.17,debit,UPI,EXPENSE,Insurance,LIC OF INDIA LIFE POLICY PREM,quarterly life insurance policy premium,LIC OF INDIA LIFE POLICY PREM quarterly life insurance policy premium,8.823820170485787,EXPENSE::Insurance
TXN_C_001515,2025-05-14 12:07:00,ZOMATO FOOD ORDER #49102,Weekend lunch food delivery burger pizza ref:35660,736.75,debit,Paytm Wallet,EXPENSE,Food,ZOMATO FOOD ORDER,weekend lunch food delivery burger pizza,ZOMATO FOOD ORDER weekend lunch food delivery burger pizza,6.603605013823048,EXPENSE::Food
TXN_C_001368,2025-11-17 11:58:00,HDFC FIXED DEPOSIT CREATE MUMBAI,Term deposit lock-in placement for 1 year ref:36748,37545.83,transfer,Net Banking,TRANSFER,Savings,HDFC FIXED DEPOSIT CREATE MUMBAI,term deposit lock in placement for 1 year,HDFC FIXED DEPOSIT CREATE MUMBAI term deposit lock in placement for 1 year,10.533344232856344,TRANSFER::Savings
TXN_C_004758,2025-06-06 14:57:00,BHARATPE-HDFC BANK ATM OUT OF NETWORK FEE,Non-home bank ATM transaction surcharge,33.11,debit,Bank Debit,EXPENSE,Fees & Charges,BHARATPE HDFC BANK ATM OUT OF NETWORK FEE,non home bank atm transaction surcharge,BHARATPE HDFC BANK ATM OUT OF NETWORK FEE non home bank atm transaction surcharge,3.5295905964305545,EXPENSE::Fees & Charges
TXN_C_000455,2025-07-03 01:14:00,POS GOOGLE PAY REWARD CASHBACK MUMBAI,Scratch card UPI transaction cashback,252.08,credit,UPI,INCOME,Other Income,GOOGLE PAY REWARD CASHBACK MUMBAI,scratch card upi transaction cashback,GOOGLE PAY REWARD CASHBACK MUMBAI scratch card upi transaction cashback,5.533705644278683,INCOME::Other Income
TXN_C_004764,2025-05-15 18:12:00,DMART AVENUE SUPERMARTS,In-store discounted FMCG household groceries,2671.8,debit,Credit Card,EXPENSE,Groceries,DMART AVENUE SUPERMARTS,in store discounted fmcg household groceries,DMART AVENUE SUPERMARTS in store discounted fmcg household groceries,7.890881891042547,EXPENSE::Groceries
TXN_C_001132,2025-10-15 04:05:00,BHARATPE-BESCOM ELECTRICITY BILL,Monthly home electricity utility power bill,3159.37,debit,Auto Debit,EXPENSE,Bills & Utilities,BHARATPE BESCOM ELECTRICITY BILL,monthly home electricity utility power bill,BHARATPE BESCOM ELECTRICITY BILL monthly home electricity utility power bill,8.058444388334216,EXPENSE::Bills & Utilities
TXN_C_005012,2025-01-26 23:20:00,OPENAI CHATGPT PLUS SUB,Monthly AI assistant subscription in INR,2022.33,debit,Credit Card,EXPENSE,Subscriptions,OPENAI CHATGPT PLUS SUB,monthly ai assistant subscription in inr,OPENAI CHATGPT PLUS SUB monthly ai assistant subscription in inr,7.612499947937619,EXPENSE::Subscriptions
TXN_C_003555,2025-01-20 07:13:00,CHAI POINT CYBER CITY,Ginger tea samosa and banana cake ref:61654,313.22,debit,UPI,EXPENSE,Food,CHAI POINT CYBER CITY,ginger tea samosa and banana cake,CHAI POINT CYBER CITY ginger tea samosa and banana cake,5.750093377519452,EXPENSE::Food
TXN_C_005338,2025-02-22 19:41:00,DR LAL PATHLABS DIAGNOSTICS PUNE,Full body health checkup blood testing,3020.2,debit,Credit Card,EXPENSE,Healthcare,DR LAL PATHLABS DIAGNOSTICS PUNE,full body health checkup blood testing,DR LAL PATHLABS DIAGNOSTICS PUNE full body health checkup blood testing,8.013409382439292,EXPENSE::Healthcare
TXN_C_002273,2025-06-07 01:19:00,ACT FIBERNET BROADBAND BILL PUNE,Monthly high-speed fiber internet plan,1367.19,debit,Auto Debit,EXPENSE,Bills & Utilities,ACT FIBERNET BROADBAND BILL PUNE,monthly high speed fiber internet plan,ACT FIBERNET BROADBAND BILL PUNE monthly high speed fiber internet plan,7.221243977427216,EXPENSE::Bills & Utilities
TXN_C_003275,2025-11-06 02:39:00,IMPS/NEFT TO SISTER ACCOUNT HYD,Inter-bank savings account funds transfer,4728.6,transfer,Net Banking,TRANSFER,Bank Transfer,IMPS NEFT TO SISTER ACCOUNT HYD,inter bank savings account funds transfer,IMPS NEFT TO SISTER ACCOUNT HYD inter bank savings account funds transfer,8.461595911313829,TRANSFER::Bank Transfer
TXN_C_005416,2025-04-03 10:14:00,IHMCL FASTAG TOLL PLAZA,National highway automated toll deduction,442.75,debit,Auto Debit,EXPENSE,Transport,IHMCL FASTAG TOLL PLAZA,national highway automated toll deduction,IHMCL FASTAG TOLL PLAZA national highway automated toll deduction,6.095261340789626,EXPENSE::Transport
TXN_C_001487,2025-06-16 12:29:00,OLA CABS TRIP #94812 PUNE,City taxi rideshare transport,849.18,debit,Ola Money,EXPENSE,Transport,OLA CABS TRIP PUNE,city taxi rideshare transport,OLA CABS TRIP PUNE city taxi rideshare transport,6.745448091771264,EXPENSE::Transport
TXN_C_000583,2025-04-18 22:13:00,ACT FIBERNET BROADBAND BILL NOIDA,Monthly high-speed fiber internet plan,1088.63,debit,Auto Debit,EXPENSE,Bills & Utilities,ACT FIBERNET BROADBAND BILL NOIDA,monthly high speed fiber internet plan,ACT FIBERNET BROADBAND BILL NOIDA monthly high speed fiber internet plan,6.9935934680558685,EXPENSE::Bills & Utilities
TXN_C_004901,2025-03-28 17:45:00,POS ACCENTURE INDIA PAYROLL DIRECT,Monthly net salary credit,131228.07,credit,Direct Deposit,INCOME,Salary,ACCENTURE INDIA PAYROLL DIRECT,monthly net salary credit,ACCENTURE INDIA PAYROLL DIRECT monthly net salary credit,11.784699701071043,INCOME::Salary
TXN_C_000764,2025-01-27 10:59:00,CRED-CULT.FIT GYM MEMBERSHIP,Monthly elite fitness center membership ref:22488,2481.1,debit,UPI AutoPay,EXPENSE,Personal Care,CRED CULT FIT GYM MEMBERSHIP,monthly elite fitness center membership,CRED CULT FIT GYM MEMBERSHIP monthly elite fitness center membership,7.816860255041567,EXPENSE::Personal Care
TXN_C_002825,2025-06-26 10:24:00,BHARATPE-MYNTRA DESIGNS BANGALORE,Branded shirts jeans casual sneakers,5587.56,debit,UPI,EXPENSE,Shopping,BHARATPE MYNTRA DESIGNS BANGALORE,branded shirts jeans casual sneakers,BHARATPE MYNTRA DESIGNS BANGALORE branded shirts jeans casual sneakers,8.628476930101574,EXPENSE::Shopping
TXN_C_000684,2025-06-30 09:29:00,SPOTIFY INDIA PREMIUM MUSIC,Individual music streaming monthly subscription,121.84,debit,UPI AutoPay,EXPENSE,Subscriptions,SPOTIFY INDIA PREMIUM MUSIC,individual music streaming monthly subscription,SPOTIFY INDIA PREMIUM MUSIC individual music streaming monthly subscription,4.810882695572622,EXPENSE::Subscriptions
TXN_C_002569,2025-06-03 08:42:00,URBAN COMPANY PLUMBER CARPENTER NOIDA,Home tap repair carpentry maintenance,447.42,debit,Cash,EXPENSE,Other Expense,URBAN COMPANY PLUMBER CARPENTER NOIDA,home tap repair carpentry maintenance,URBAN COMPANY PLUMBER CARPENTER NOIDA home tap repair carpentry maintenance,6.105730293236325,EXPENSE::Other Expense
TXN_C_000262,2025-02-22 00:05:00,UPI-PAYTM WALLET TOPUP LOAD STORE,Money transfer from bank account to wallet,2805.98,transfer,Debit Card,TRANSFER,Other Transfer,UPI PAYTM WALLET TOPUP LOAD STORE,money transfer from bank account to wallet,UPI PAYTM WALLET TOPUP LOAD STORE money transfer from bank account to wallet,7.939864451291967,TRANSFER::Other Transfer
TXN_C_001055,2025-07-29 19:58:00,PAYTM WALLET TOPUP LOAD,Money transfer from bank account to wallet,1789.81,transfer,UPI,TRANSFER,Other Transfer,PAYTM WALLET TOPUP LOAD,money transfer from bank account to wallet,PAYTM WALLET TOPUP LOAD money transfer from bank account to wallet,7.490423310447713,TRANSFER::Other Transfer
TXN_C_003615,2025-09-23 02:57:00,RAPIDO BIKE TAXI RIDE,Quick metro station last-mile commute,158.52,debit,UPI,EXPENSE,Transport,RAPIDO BIKE TAXI RIDE,quick metro station last mile commute,RAPIDO BIKE TAXI RIDE quick metro station last mile commute,5.072169306213528,EXPENSE::Transport
TXN_C_001445,2025-07-18 05:05:00,CRED HDFC CARD BILL PAY,Monthly credit card outstanding bill payment ref:39968,5078.3,transfer,UPI,TRANSFER,Credit Card Payment,CRED HDFC CARD BILL PAY,monthly credit card outstanding bill payment,CRED HDFC CARD BILL PAY monthly credit card outstanding bill payment,8.532928735802296,TRANSFER::Credit Card Payment
