user_id,income_range,transaction_count,payment_method_count,subscription_count,expense_tracking_frequency,manual_tracking_frequency,missed_transaction_frequency,budgeting_frequency,impulse_spending_tendency,digital_wallet_usage_pct,savings_behavior_pct,financial_tracking_difficulty,income_ordinal,estimated_income
RESP_IN_00040,"> ₹25,00,000",83,3,7,1,5,5,4,3,100.0,21.0,10,5,3500000
RESP_IN_00041,"₹6,00,000 - ₹12,00,000",93,3,4,3,4,2,1,3,96.9,23.2,9,3,900000
RESP_IN_00042,"₹12,00,000 - ₹25,00,000",85,3,8,1,5,4,2,1,87.0,29.9,10,4,1850000
RESP_IN_00043,"₹3,00,000 - ₹6,00,000",138,6,5,2,4,5,2,2,95.1,31.0,10,2,450000
RESP_IN_00044,"₹6,00,000 - ₹12,00,000",90,3,7,3,3,4,5,2,72.1,38.8,8,3,900000
RESP_IN_00045,"₹6,00,000 - ₹12,00,000",105,4,6,5,3,3,2,4,75.9,20.6,10,3,900000
RESP_IN_00046,"₹12,00,000 - ₹25,00,000",69,2,6,1,4,3,1,3,78.7,19.5,9,4,1850000
RESP_IN_00047,"₹6,00,000 - ₹12,00,000",124,4,13,3,4,5,3,3,87.8,24.5,10,3,900000
RESP_IN_00048,"₹6,00,000 - ₹12,00,000",112,4,6,4,5,4,1,4,72.9,14.7,10,3,900000
RESP_IN_00049,"₹6,00,000 - ₹12,00,000",102,2,4,2,3,3,2,3,100.0,20.4,10,3,900000
RESP_IN_00050,"₹3,00,000 - ₹6,00,000",113,3,6,3,5,4,1,4,93.0,13.9,10,2,450000
RESP_IN_00051,"< ₹3,00,000",103,3,6,4,4,3,3,3,88.2,30.5,10,1,200000
RESP_IN_00052,"₹3,00,000 - ₹6,00,000",82,2,6,3,2,2,3,4,88.5,26.1,8,2,450000
RESP_IN_00053,"₹3,00,000 - ₹6,00,000",109,3,6,2,3,4,1,2,100.0,22.9,10,2,450000
RESP_IN_00054,"₹3,00,000 - ₹6,00,000",114,3,6,4,3,3,4,4,90.0,20.4,8,2,450000
RESP_IN_00055,"₹3,00,000 - ₹6,00,000",141,7,9,2,4,5,2,5,98.9,21.2,10,2,450000
RESP_IN_00056,"< ₹3,00,000",142,6,10,5,3,5,1,2,90.1,22.8,10,1,200000
RESP_IN_00057,"> ₹25,00,000",125,4,7,2,3,4,3,1,90.6,41.4,10,5,3500000
RESP_IN_00058,"₹3,00,000 - ₹6,00,000",91,2,3,1,2,4,2,3,74.2,27.0,8,2,450000
RESP_IN_00059,"₹12,00,000 - ₹25,00,000",108,4,7,2,2,5,3,3,100.0,28.8,10,4,1850000
RESP_IN_00060,"₹3,00,000 - ₹6,00,000",131,4,6,2,2,5,2,1,89.1,29.3,10,2,450000
RESP_IN_00061,"₹3,00,000 - ₹6,00,000",96,3,8,1,2,4,1,5,78.6,14.4,10,2,450000
RESP_IN_00062,"< ₹3,00,000",123,5,11,2,3,5,2,2,85.0,28.7,10,1,200000
RESP_IN_00063,"< ₹3,00,000",149,6,9,3,3,5,1,4,98.4,20.8,10,1,200000
RESP_IN_00064,"₹3,00,000 - ₹6,00,000",109,3,7,2,3,5,4,2,73.7,28.3,10,2,450000
RESP_IN_00065,"₹3,00,000 - ₹6,00,000",113,4,7,3,3,5,3,2,88.3,25.4,10,2,450000
RESP_IN_00066,"₹12,00,000 - ₹25,00,000",121,4,9,2,3,4,3,2,97.6,27.8,10,4,1850000
RESP_IN_00067,"₹3,00,000 - ₹6,00,000",131,4,3,5,2,4,3,4,99.3,24.4,10,2,450000
RESP_IN_00068,"₹12,00,000 - ₹25,00,000",89,3,5,3,3,4,2,3,96.0,32.1,10,4,1850000
RESP_IN_00069,"₹3,00,000 - ₹6,00,000",90,3,9,4,2,3,2,1,86.3,36.8,9,2,450000
RESP_IN_00070,"₹12,00,000 - ₹25,00,000",129,4,9,3,1,5,5,2,91.1,29.4,10,4,1850000
RESP_IN_00071,"₹3,00,000 - ₹6,00,000",102,3,3,4,5,4,2,1,83.3,28.7,10,2,450000
RESP_IN_00072,"₹6,00,000 - ₹12,00,000",138,6,9,5,4,4,3,2,90.2,34.8,10,3,900000
RESP_IN_00073,"₹6,00,000 - ₹12,00,000",137,5,7,2,4,5,2,2,92.3,23.0,10,3,900000
RESP_IN_00074,"< ₹3,00,000",147,6,10,1,2,5,2,2,87.9,28.4,10,1,200000
RESP_IN_00075,"₹3,00,000 - ₹6,00,000",107,3,5,1,4,5,5,4,99.2,38.4,10,2,450000
RESP_IN_00076,"₹3,00,000 - ₹6,00,000",83,2,4,2,3,4,3,5,81.3,14.4,9,2,450000
RESP_IN_00077,"₹6,00,000 - ₹12,00,000",103,4,8,2,2,4,2,3,97.3,24.8,10,3,900000
RESP_IN_00078,"< ₹3,00,000",118,4,8,1,3,5,2,2,94.0,18.4,10,1,200000
RESP_IN_00079,"₹12,00,000 - ₹25,00,000",152,6,6,1,5,5,1,4,100.0,16.4,10,4,1850000
RESP_IN_00080,"₹3,00,000 - ₹6,00,000",96,3,7,4,4,3,2,3,79.3,20.2,10,2,450000
RESP_IN_00081,"₹3,00,000 - ₹6,00,000",141,5,8,5,4,4,4,4,71.5,25.4,10,2,450000
RESP_IN_00082,"< ₹3,00,000",109,4,9,1,3,5,3,2,100.0,30.1,10,1,200000
RESP_IN_00083,"₹6,00,000 - ₹12,00,000",115,4,7,2,5,4,3,4,83.2,23.2,10,3,900000
RESP_IN_00084,"< ₹3,00,000",83,2,4,2,1,2,2,3,100.0,18.2,9,1,200000
RESP_IN_00085,"₹3,00,000 - ₹6,00,000",135,4,7,3,2,5,2,2,90.0,24.7,10,2,450000
RESP_IN_00086,"₹6,00,000 - ₹12,00,000",138,6,9,5,2,5,3,4,99.2,23.2,10,3,900000
RESP_IN_00087,"> ₹25,00,000",89,3,7,2,1,4,1,4,84.0,18.3,10,5,3500000
RESP_IN_00088,"₹3,00,000 - ₹6,00,000",132,5,9,2,4,5,2,5,80.6,14.4,10,2,450000
RESP_IN_00089,"₹3,00,000 - ₹6,00,000",94,3,5,1,2,5,3,4,100.0,20.8,10,2,450000
RESP_IN_00090,"₹3,00,000 - ₹6,00,000",87,3,4,3,3,5,1,1,100.0,29.5,10,2,450000
RESP_IN_00091,"₹12,00,000 - ₹25,00,000",81,3,6,3,3,3,3,1,74.4,31.8,9,4,1850000
RESP_IN_00092,"₹3,00,000 - ₹6,00,000",89,2,5,2,3,3,5,3,81.3,30.6,7,2,450000
RESP_IN_00093,"₹6,00,000 - ₹12,00,000",79,2,5,3,3,3,3,3,75.1,23.0,8,3,900000
RESP_IN_00094,"₹3,00,000 - ₹6,00,000",104,3,7,2,4,4,3,2,100.0,31.7,10,2,450000
RESP_IN_00095,"₹6,00,000 - ₹12,00,000",105,2,4,3,2,4,4,3,98.7,31.8,8,3,900000
RESP_IN_00096,"< ₹3,00,000",136,5,10,4,2,5,1,3,91.1,26.9,10,1,200000
RESP_IN_00097,"₹6,00,000 - ₹12,00,000",155,5,9,4,3,5,2,1,88.4,34.7,10,3,900000
RESP_IN_00098,"₹3,00,000 - ₹6,00,000",100,4,6,3,4,5,2,1,95.1,33.3,10,2,450000
RESP_IN_00099,"₹12,00,000 - ₹25,00,000",117,4,8,1,4,4,1,3,97.7,24.2,10,4,1850000
RESP_IN_00100,"> ₹25,00,000",111,4,6,5,2,3,3,3,97.0,28.0,10,5,3500000
RESP_IN_00101,"₹3,00,000 - ₹6,00,000",84,3,7,1,4,3,1,1,81.4,26.2,7,2,450000
RESP_IN_00102,"₹6,00,000 - ₹12,00,000",137,6,8,5,3,5,2,3,100.0,22.3,10,3,900000
RESP_IN_00103,"₹3,00,000 - ₹6,00,000",108,5,7,3,4,5,3,3,86.5,27.1,10,2,450000
RESP_IN_00104,"₹3,00,000 - ₹6,00,000",154,5,9,1,4,5,5,2,77.6,39.1,10,2,450000
RESP_IN_00105,"< ₹3,00,000",120,4,5,4,3,3,2,3,85.1,20.6,9,1,200000
RESP_IN_00106,"₹3,00,000 - ₹6,00,000",91,2,7,4,2,3,3,4,93.9,22.4,9,2,450000
RESP_IN_00107,"₹3,00,000 - ₹6,00,000",101,3,8,2,4,5,5,2,75.3,31.2,10,2,450000
RESP_IN_00108,"₹6,00,000 - ₹12,00,000",66,3,8,4,2,2,2,4,87.2,17.7,8,3,900000
RESP_IN_00109,"< ₹3,00,000",97,3,7,5,1,3,1,4,69.7,18.9,10,1,200000
RESP_IN_00110,"₹3,00,000 - ₹6,00,000",89,3,9,3,2,3,2,3,96.1,32.0,8,2,450000
RESP_IN_00111,"₹3,00,000 - ₹6,00,000",85,3,8,3,4,4,3,3,85.5,26.8,10,2,450000
RESP_IN_00112,"< ₹3,00,000",127,5,10,2,2,5,2,3,92.5,28.8,10,1,200000
RESP_IN_00113,"< ₹3,00,000",114,4,6,2,1,5,4,3,92.9,34.9,10,1,200000
RESP_IN_00114,"₹12,00,000 - ₹25,00,000",94,2,7,5,5,2,3,2,73.6,28.8,9,4,1850000
RESP_IN_00115,"< ₹3,00,000",116,3,7,2,1,4,5,2,81.2,33.1,8,1,200000
RESP_IN_00116,"₹12,00,000 - ₹25,00,000",95,4,8,3,2,4,3,5,100.0,19.4,10,4,1850000
RESP_IN_00117,"₹6,00,000 - ₹12,00,000",95,3,6,2,4,4,3,3,91.2,23.6,10,3,900000
RESP_IN_00118,"₹3,00,000 - ₹6,00,000",94,2,8,2,3,3,4,1,72.2,37.1,9,2,450000
RESP_IN_00119,"< ₹3,00,000",98,4,9,1,4,4,3,5,89.5,21.4,10,1,200000
RESP_IN_00120,"₹6,00,000 - ₹12,00,000",68,1,5,4,5,1,1,3,84.1,18.1,8,3,900000
RESP_IN_00121,"₹3,00,000 - ₹6,00,000",93,2,6,2,2,4,4,4,84.9,29.1,7,2,450000
RESP_IN_00122,"₹12,00,000 - ₹25,00,000",145,5,8,4,3,5,1,1,83.9,33.4,10,4,1850000
RESP_IN_00123,"< ₹3,00,000",122,4,7,3,5,4,2,4,87.8,25.6,10,1,200000
RESP_IN_00124,"< ₹3,00,000",145,6,8,5,2,5,4,2,94.4,39.3,10,1,200000
RESP_IN_00125,"₹3,00,000 - ₹6,00,000",90,2,5,3,4,4,4,1,85.9,37.1,9,2,450000
RESP_IN_00126,"< ₹3,00,000",111,3,2,4,3,3,5,3,78.7,33.5,8,1,200000
RESP_IN_00127,"₹6,00,000 - ₹12,00,000",52,1,8,1,3,4,3,1,88.9,39.5,7,3,900000
RESP_IN_00128,"₹12,00,000 - ₹25,00,000",91,2,3,4,4,2,1,1,79.5,25.7,9,4,1850000
RESP_IN_00129,"> ₹25,00,000",158,6,9,2,4,5,5,4,93.9,26.9,10,5,3500000
RESP_IN_00130,"₹3,00,000 - ₹6,00,000",134,5,8,1,5,5,3,2,100.0,33.5,10,2,450000
RESP_IN_00131,"> ₹25,00,000",89,2,8,2,3,4,4,3,76.1,29.5,9,5,3500000
RESP_IN_00132,"₹6,00,000 - ₹12,00,000",101,3,6,2,4,4,3,4,100.0,22.4,10,3,900000
RESP_IN_00133,"₹12,00,000 - ₹25,00,000",86,2,5,2,1,3,3,2,86.5,28.8,7,4,1850000
RESP_IN_00134,"₹3,00,000 - ₹6,00,000",101,4,8,2,3,5,1,4,91.7,12.4,10,2,450000
RESP_IN_00135,"₹12,00,000 - ₹25,00,000",134,6,8,4,3,5,2,4,100.0,20.3,10,4,1850000
RESP_IN_00136,"₹3,00,000 - ₹6,00,000",159,5,10,5,4,5,2,3,100.0,22.6,10,2,450000
RESP_IN_00137,"₹3,00,000 - ₹6,00,000",159,7,9,2,3,5,2,2,88.7,33.0,10,2,450000
RESP_IN_00138,"₹6,00,000 - ₹12,00,000",107,3,4,4,5,5,2,1,85.2,26.2,10,3,900000
RESP_IN_00139,"₹3,00,000 - ₹6,00,000",124,4,7,1,3,5,3,4,82.5,15.6,10,2,450000
RESP_IN_00140,"₹6,00,000 - ₹12,00,000",114,2,4,2,4,4,1,2,96.8,29.3,10,3,900000
RESP_IN_00141,"< ₹3,00,000",89,3,5,5,2,3,4,4,89.4,26.2,8,1,200000
RESP_IN_00142,"< ₹3,00,000",99,4,5,4,1,4,4,1,85.9,37.4,9,1,200000
RESP_IN_00143,"₹3,00,000 - ₹6,00,000",103,4,9,4,3,3,1,3,99.1,23.3,10,2,450000
RESP_IN_00144,"₹12,00,000 - ₹25,00,000",78,2,5,2,2,3,2,3,81.2,18.8,9,4,1850000
RESP_IN_00145,"₹3,00,000 - ₹6,00,000",129,4,8,2,1,5,4,4,87.3,26.9,10,2,450000
RESP_IN_00146,"₹3,00,000 - ₹6,00,000",103,3,8,1,3,5,3,3,100.0,32.3,10,2,450000
RESP_IN_00147,"₹6,00,000 - ₹12,00,000",63,1,7,2,3,4,3,2,93.3,29.7,9,3,900000
RESP_IN_00148,"< ₹3,00,000",72,2,3,3,2,2,2,3,95.9,16.5,6,1,200000
RESP_IN_00149,"₹12,00,000 - ₹25,00,000",125,6,9,3,4,5,3,4,87.2,23.5,10,4,1850000
RESP_IN_00150,"₹12,00,000 - ₹25,00,000",108,3,5,2,1,4,2,2,98.5,22.9,9,4,1850000
RESP_IN_00151,"< ₹3,00,000",115,4,8,2,5,5,1,2,95.1,22.5,10,1,200000
RESP_IN_00152,"₹6,00,000 - ₹12,00,000",79,2,3,2,4,4,2,3,71.4,22.4,9,3,900000
RESP_IN_00153,"< ₹3,00,000",105,3,5,5,5,3,1,2,82.2,26.6,10,1,200000
RESP_IN_00154,"₹6,00,000 - ₹12,00,000",124,4,8,1,2,5,1,3,89.8,20.8,10,3,900000
RESP_IN_00155,"₹6,00,000 - ₹12,00,000",75,1,5,2,2,3,2,4,80.3,18.9,8,3,900000
RESP_IN_00156,"₹3,00,000 - ₹6,00,000",91,2,6,4,4,3,1,2,100.0,22.8,10,2,450000
RESP_IN_00157,"₹6,00,000 - ₹12,00,000",168,7,12,2,2,5,1,5,100.0,9.3,10,3,900000
RESP_IN_00158,"₹3,00,000 - ₹6,00,000",88,3,5,2,4,3,3,4,88.5,21.2,10,2,450000
RESP_IN_00159,"₹6,00,000 - ₹12,00,000",87,2,4,3,1,3,1,3,63.5,16.7,9,3,900000
RESP_IN_00160,"₹3,00,000 - ₹6,00,000",111,4,6,3,3,3,3,3,89.5,32.0,10,2,450000
RESP_IN_00161,"₹3,00,000 - ₹6,00,000",98,3,6,2,3,4,5,4,90.1,21.7,9,2,450000
RESP_IN_00162,"₹3,00,000 - ₹6,00,000",148,6,10,4,4,5,1,3,78.5,18.3,10,2,450000
RESP_IN_00163,"< ₹3,00,000",115,3,7,3,3,4,2,3,92.9,29.8,10,1,200000
RESP_IN_00164,"₹12,00,000 - ₹25,00,000",153,6,7,2,4,5,1,3,100.0,25.6,10,4,1850000
RESP_IN_00165,"₹6,00,000 - ₹12,00,000",121,4,6,1,5,5,3,3,69.4,24.1,10,3,900000
RESP_IN_00166,"₹3,00,000 - ₹6,00,000",116,4,10,5,4,4,4,3,85.7,30.2,10,2,450000
RESP_IN_00167,"₹3,00,000 - ₹6,00,000",117,5,10,5,2,4,2,3,83.7,19.9,10,2,450000
RESP_IN_00168,"₹3,00,000 - ₹6,00,000",133,4,7,1,5,3,4,3,91.6,29.8,10,2,450000
RESP_IN_00169,"₹3,00,000 - ₹6,00,000",135,6,10,2,3,5,5,2,78.4,41.3,10,2,450000
RESP_IN_00170,"₹3,00,000 - ₹6,00,000",119,4,6,3,3,4,1,3,100.0,23.0,10,2,450000
RESP_IN_00171,"< ₹3,00,000",127,5,6,2,5,5,1,3,84.7,21.8,10,1,200000
RESP_IN_00172,"₹12,00,000 - ₹25,00,000",157,7,10,1,1,5,2,3,98.0,26.0,10,4,1850000
RESP_IN_00173,"< ₹3,00,000",144,6,9,5,1,4,2,4,96.0,19.4,10,1,200000
RESP_IN_00174,"₹3,00,000 - ₹6,00,000",97,2,6,2,2,5,3,4,93.7,18.8,10,2,450000
RESP_IN_00175,"₹3,00,000 - ₹6,00,000",97,3,5,4,3,4,1,5,91.3,10.4,10,2,450000
RESP_IN_00176,"> ₹25,00,000",132,5,9,3,4,4,4,1,97.4,33.3,10,5,3500000
RESP_IN_00177,"> ₹25,00,000",152,6,9,2,4,5,2,2,93.7,30.1,10,5,3500000
RESP_IN_00178,"₹3,00,000 - ₹6,00,000",142,5,8,4,5,4,1,2,100.0,23.7,10,2,450000
RESP_IN_00179,"₹3,00,000 - ₹6,00,000",148,6,11,2,2,5,2,3,100.0,16.5,10,2,450000
RESP_IN_00180,"< ₹3,00,000",140,5,8,2,2,5,1,2,100.0,24.2,10,1,200000
RESP_IN_00181,"₹3,00,000 - ₹6,00,000",124,4,7,1,2,5,1,3,88.2,24.7,10,2,450000
RESP_IN_00182,"₹3,00,000 - ₹6,00,000",112,3,8,2,2,5,2,4,80.4,13.8,10,2,450000
RESP_IN_00183,"₹12,00,000 - ₹25,00,000",94,4,5,2,5,5,3,2,91.5,29.4,10,4,1850000
RESP_IN_00184,"₹6,00,000 - ₹12,00,000",116,4,7,2,5,5,1,3,95.1,12.5,10,3,900000
RESP_IN_00185,"₹6,00,000 - ₹12,00,000",116,4,7,2,4,5,1,3,90.3,18.7,10,3,900000
RESP_IN_00186,"₹6,00,000 - ₹12,00,000",136,5,8,5,4,5,3,3,91.6,28.8,10,3,900000
RESP_IN_00187,"₹12,00,000 - ₹25,00,000",106,4,8,2,3,4,2,4,85.7,18.9,10,4,1850000
RESP_IN_00188,"₹6,00,000 - ₹12,00,000",88,3,7,3,3,3,4,5,93.1,17.0,9,3,900000
RESP_IN_00189,"₹6,00,000 - ₹12,00,000",125,5,10,4,3,4,3,4,100.0,25.4,10,3,900000
RESP_IN_00190,"₹3,00,000 - ₹6,00,000",100,3,6,2,3,4,5,5,86.3,28.4,10,2,450000
RESP_IN_00191,"₹3,00,000 - ₹6,00,000",84,2,7,2,3,4,2,5,86.3,14.0,10,2,450000
RESP_IN_00192,"< ₹3,00,000",96,3,8,1,4,4,1,5,100.0,18.6,10,1,200000
RESP_IN_00193,"₹3,00,000 - ₹6,00,000",105,4,7,4,2,4,5,2,85.1,27.0,10,2,450000
RESP_IN_00194,"₹3,00,000 - ₹6,00,000",126,4,8,3,4,3,3,2,86.5,31.2,10,2,450000
RESP_IN_00195,"₹3,00,000 - ₹6,00,000",135,4,9,2,2,5,2,3,100.0,22.7,10,2,450000
RESP_IN_00196,"₹3,00,000 - ₹6,00,000",115,4,6,5,2,4,3,1,94.3,34.8,10,2,450000
RESP_IN_00197,"₹12,00,000 - ₹25,00,000",116,5,9,3,3,4,1,4,93.5,18.9,10,4,1850000
RESP_IN_00198,"₹12,00,000 - ₹25,00,000",72,2,8,2,3,4,3,4,100.0,21.8,9,4,1850000
RESP_IN_00199,"< ₹3,00,000",91,3,8,1,2,5,3,2,100.0,27.5,10,1,200000
RESP_IN_00200,"₹3,00,000 - ₹6,00,000",135,5,8,2,3,5,4,2,91.1,30.9,10,2,450000
RESP_IN_00201,"₹3,00,000 - ₹6,00,000",128,5,7,2,4,5,1,1,82.7,25.5,10,2,450000
RESP_IN_00202,"₹3,00,000 - ₹6,00,000",123,4,6,2,4,5,1,2,85.9,21.6,10,2,450000
RESP_IN_00203,"₹6,00,000 - ₹12,00,000",121,4,7,2,3,4,1,2,99.9,24.1,10,3,900000
RESP_IN_00204,"₹6,00,000 - ₹12,00,000",98,3,5,3,4,3,3,2,82.1,28.5,9,3,900000
RESP_IN_00205,"< ₹3,00,000",122,4,8,4,2,4,3,3,97.9,22.8,10,1,200000
RESP_IN_00206,"₹6,00,000 - ₹12,00,000",115,4,7,3,1,4,4,1,100.0,38.7,8,3,900000
RESP_IN_00207,"₹12,00,000 - ₹25,00,000",76,2,4,4,2,2,4,3,92.2,21.7,6,4,1850000
RESP_IN_00208,"₹12,00,000 - ₹25,00,000",113,4,7,1,2,5,1,4,92.9,21.5,10,4,1850000
RESP_IN_00209,"₹12,00,000 - ₹25,00,000",114,4,5,2,2,5,4,3,78.0,25.1,10,4,1850000
RESP_IN_00210,"₹3,00,000 - ₹6,00,000",158,5,4,1,4,5,3,1,85.1,41.0,10,2,450000
RESP_IN_00211,"< ₹3,00,000",122,4,7,3,5,5,1,1,100.0,29.7,10,1,200000
RESP_IN_00212,"₹12,00,000 - ₹25,00,000",126,4,7,1,2,5,2,2,82.6,25.0,10,4,1850000
RESP_IN_00213,"₹12,00,000 - ₹25,00,000",128,5,10,2,1,5,3,3,99.2,31.4,10,4,1850000
RESP_IN_00214,"₹6,00,000 - ₹12,00,000",127,5,7,1,2,5,1,2,100.0,23.6,10,3,900000
RESP_IN_00215,"< ₹3,00,000",107,3,5,4,5,4,2,4,94.0,16.7,10,1,200000
RESP_IN_00216,"₹6,00,000 - ₹12,00,000",127,4,9,5,5,4,4,3,82.0,30.3,10,3,900000
RESP_IN_00217,"₹12,00,000 - ₹25,00,000",110,4,6,2,3,5,2,5,92.5,12.6,10,4,1850000
RESP_IN_00218,"> ₹25,00,000",128,4,7,2,4,4,5,4,82.6,24.8,10,5,3500000
RESP_IN_00219,"< ₹3,00,000",110,4,9,1,2,5,2,1,78.0,26.7,10,1,200000
RESP_IN_00220,"₹3,00,000 - ₹6,00,000",133,5,7,1,2,5,3,5,89.4,24.5,10,2,450000
RESP_IN_00221,"₹12,00,000 - ₹25,00,000",143,5,11,3,1,5,1,3,91.7,24.9,10,4,1850000
RESP_IN_00222,"₹12,00,000 - ₹25,00,000",84,3,4,2,5,4,2,4,81.4,23.4,10,4,1850000
RESP_IN_00223,"₹6,00,000 - ₹12,00,000",85,3,5,2,1,5,2,3,74.9,23.8,9,3,900000
RESP_IN_00224,"₹6,00,000 - ₹12,00,000",111,3,4,3,3,4,1,1,76.1,27.0,9,3,900000
RESP_IN_00225,"₹6,00,000 - ₹12,00,000",164,6,11,3,5,5,1,4,94.9,20.2,10,3,900000
RESP_IN_00226,"₹6,00,000 - ₹12,00,000",98,3,5,1,3,5,3,4,100.0,22.3,10,3,900000
RESP_IN_00227,"₹3,00,000 - ₹6,00,000",78,3,6,4,2,3,1,1,80.9,31.0,10,2,450000
RESP_IN_00228,"₹3,00,000 - ₹6,00,000",127,4,8,2,2,5,2,3,96.7,24.4,10,2,450000
RESP_IN_00229,"₹3,00,000 - ₹6,00,000",137,5,8,2,5,5,2,3,86.7,18.9,10,2,450000
RESP_IN_00230,"> ₹25,00,000",127,5,8,3,3,5,3,3,100.0,26.4,10,5,3500000
RESP_IN_00231,"₹6,00,000 - ₹12,00,000",61,1,3,1,4,3,1,3,89.3,14.4,6,3,900000
RESP_IN_00232,"₹6,00,000 - ₹12,00,000",144,5,8,2,1,5,3,2,95.0,26.3,10,3,900000
RESP_IN_00233,"₹3,00,000 - ₹6,00,000",137,5,8,3,3,5,1,2,100.0,18.9,10,2,450000
RESP_IN_00234,"₹3,00,000 - ₹6,00,000",114,5,9,1,2,5,4,2,96.0,28.2,10,2,450000
RESP_IN_00235,"₹6,00,000 - ₹12,00,000",91,3,6,2,4,3,1,3,69.3,15.0,10,3,900000
